Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,ZeyR,,?b,Fu,,,,,,,,,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
150 x 5.0 SHS (C350),22.1,150,150,5.0,5.0,,140,,,2810,9.70,129,151,58.7,9.70,129,151,58.7,15600,0,350,350,1.000,N,144,N,144,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 10.0 SHS (C350),33.4,125,125,10.0,10.0,,105,,,4260,8.93,143,178,45.8,8.93,143,178,45.8,15700,0,350,350,1.000,C,178,C,178,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 9.0 SHS (C350),30.6,125,125,9.0,9.0,,107,,,3900,8.38,134,165,46.4,8.38,134,165,46.4,14500,0,350,350,1.000,C,165,C,165,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 8.0 SHS (C350),27.7,125,125,8.0,8.0,,109,,,3520,7.75,124,151,46.9,7.75,124,151,46.9,13300,0,350,350,1.000,C,151,C,151,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 6.0 SHS (C350),21.4,125,125,6.0,6.0,,113,,,2730,6.29,101,120,48.0,6.29,101,120,48.0,10400,0,350,350,1.000,C,120,C,120,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 5.0 SHS (C350),18.2,125,125,5.0,5.0,,115,,,2310,5.44,87.1,103,48.5,5.44,87.1,103,48.5,8870,0,350,350,1.000,C,103,C,103,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
125 x 4.0 SHS (C350),14.8,125,125,4.0,4.0,,117,,,1880,4.52,72.3,84.5,49.0,4.52,72.3,84.5,49.0,7250,0,350,350,1.000,N,78.9,N,78.9,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 10.0 SHS (C350),25.6,100,100,10.0,10.0,,80,,,3260,4.11,82.2,105,35.5,4.11,82.2,105,35.5,7500,0,350,350,1.000,C,105,C,105,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 9.0 SHS (C350),23.5,100,100,9.0,9.0,,82,,,3000,3.91,78.1,98.6,36.1,3.91,78.1,98.6,36.1,7000,0,350,350,1.000,C,98.6,C,98.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 8.0 SHS (C350),21.4,100,100,8.0,8.0,,84,,,2720,3.66,73.2,91.1,36.7,3.66,73.2,91.1,36.7,6450,0,350,350,1.000,C,91.1,C,91.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 6.0 SHS (C350),16.7,100,100,6.0,6.0,,88,,,2130,3.04,60.7,73.5,37.7,3.04,60.7,73.5,37.7,5150,0,350,350,1.000,C,73.5,C,73.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 5.0 SHS (C350),14.2,100,100,5.0,5.0,,90,,,1810,2.66,53.1,63.5,38.3,2.66,53.1,63.5,38.3,4420,0,350,350,1.000,C,63.5,C,63.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 4.0 SHS (C350),11.6,100,100,4.0,4.0,,92,,,1480,2.23,44.6,52.6,38.8,2.23,44.6,52.6,38.8,3630,0,350,350,1.000,C,52.6,C,52.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 3.0 SHS (C350),8.96,100,100,3.0,3.0,,94,,,1140,1.77,35.4,41.2,39.4,1.77,35.4,41.2,39.4,2790,0,350,350,1.000,N,37.1,N,37.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 2.5 SHS (C350),7.53,100,100,2.5,2.5,,95,,,959,1.51,30.1,34.9,39.6,1.51,30.1,34.9,39.6,2350,0,350,350,0.891,S,28.1,S,28.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
100 x 2.0 SHS (C350),6.07,100,100,2.0,2.0,,96,,,774,1.23,24.6,28.3,39.9,1.23,24.6,28.3,39.9,1910,0,350,350,0.706,S,20.2,S,20.2,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
90 x 2.5 SHS (C350),6.74,90,90,2.5,2.5,,85,,,859,1.09,24.1,28.0,35.6,1.09,24.1,28.0,35.6,1700,0,350,350,0.994,S,24.1,S,24.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
90 x 2.0 SHS (C350),5.45,90,90,2.0,2.0,,86,,,694,0.889,19.7,22.8,35.8,0.889,19.7,22.8,35.8,1380,0,350,350,0.788,S,17.1,S,17.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
89 x 6.0 SHS (C350),14.7,89,89,6.0,6.0,,77,,,1870,2.06,46.4,56.7,33.2,2.06,46.4,56.7,33.2,3550,0,350,350,1.000,C,56.6,C,56.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
89 x 5.0 SHS (C350),12.5,89,89,5.0,5.0,,79,,,1590,1.82,40.8,49.2,33.8,1.82,40.8,49.2,33.8,3060,0,350,350,1.000,C,49.1,C,49.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
89 x 3.5 SHS (C350),9.07,89,89,3.5,3.5,,82,,,1150,1.38,31.0,36.5,34.6,1.38,31.0,36.5,34.6,2250,0,350,350,1.000,C,36.5,C,36.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
89 x 2.0 SHS (C350),5.38,89,89,2.0,2.0,,85,,,686,0.858,19.3,22.3,35.4,0.858,19.3,22.3,35.4,1330,0,350,350,0.797,S,16.9,S,16.9,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 6.0 SHS (C350),12.0,75,75,6.0,6.0,,63,,,1530,1.16,30.9,38.4,27.5,1.16,30.9,38.4,27.5,2040,0,350,350,1.000,C,38.4,C,38.4,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 5.0 SHS (C350),10.3,75,75,5.0,5.0,,65,,,1310,1.03,27.5,33.6,28.0,1.03,27.5,33.6,28.0,1770,0,350,350,1.000,C,33.6,C,33.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 4.0 SHS (C350),8.49,75,75,4.0,4.0,,67,,,1080,0.882,23.5,28.2,28.6,0.882,23.5,28.2,28.6,1480,0,350,350,1.000,C,28.2,C,28.2,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 3.5 SHS (C350),7.53,75,75,3.5,3.5,,68,,,959,0.797,21.3,25.3,28.8,0.797,21.3,25.3,28.8,1320,0,350,350,1.000,C,25.3,C,25.3,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 3.0 SHS (C350),6.60,75,75,3.0,3.0,,69,,,841,0.716,19.1,22.5,29.2,0.716,19.1,22.5,29.2,1150,0,350,350,1.000,C,22.5,C,22.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 2.5 SHS (C350),5.56,75,75,2.5,2.5,,70,,,709,0.614,16.4,19.1,29.4,0.614,16.4,19.1,29.4,971,0,350,350,1.000,N,18.3,N,18.3,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
75 x 2.0 SHS (C350),4.50,75,75,2.0,2.0,,71,,,574,0.505,13.5,15.6,29.7,0.505,13.5,15.6,29.7,790,0,350,350,0.953,S,13.1,S,13.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 6.0 SHS (C350),10.1,65,65,6.0,6.0,,53,,,1290,0.706,21.7,27.5,23.4,0.706,21.7,27.5,23.4,1270,0,350,350,1.000,C,27.5,C,27.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 5.0 SHS (C350),8.75,65,65,5.0,5.0,,55,,,1110,0.638,19.6,24.3,23.9,0.638,19.6,24.3,23.9,1120,0,350,350,1.000,C,24.3,C,24.3,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 4.0 SHS (C350),7.23,65,65,4.0,4.0,,57,,,921,0.552,17.0,20.6,24.5,0.552,17.0,20.6,24.5,939,0,350,350,1.000,C,20.6,C,20.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 3.0 SHS (C350),5.66,65,65,3.0,3.0,,59,,,721,0.454,14.0,16.6,25.1,0.454,14.0,16.6,25.1,733,0,350,350,1.000,C,16.6,C,16.6,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 2.5 SHS (C350),4.78,65,65,2.5,2.5,,60,,,609,0.391,12.0,14.1,25.3,0.391,12.0,14.1,25.3,624,0,350,350,1.000,C,14.1,C,14.1,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 2.0 SHS (C350),3.88,65,65,2.0,2.0,,61,,,494,0.323,9.94,11.6,25.6,0.323,9.94,11.6,25.6,509,0,350,350,1.000,N,10.60,N,10.60,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
65 x 1.6 SHS (C350),3.13,65,65,1.6,1.6,,61.8,,,399,0.265,8.16,9.44,25.8,0.265,8.16,9.44,25.8,414,0,350,350,0.876,S,7.54,S,7.54,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 6.0 SHS (C350),7.32,50,50,6.0,6.0,,38,,,932,0.275,11.0,14.5,17.2,0.275,11.0,14.5,17.2,518,0,350,350,1.000,C,14.5,C,14.5,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 5.0 SHS (C350),6.39,50,50,5.0,5.0,,40,,,814,0.257,10.3,13.2,17.8,0.257,10.3,13.2,17.8,469,0,350,350,1.000,C,13.2,C,13.2,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 4.0 SHS (C350),5.35,50,50,4.0,4.0,,42,,,681,0.229,9.15,11.4,18.3,0.229,9.15,11.4,18.3,403,0,350,350,1.000,C,11.4,C,11.4,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 3.0 SHS (C350),4.25,50,50,3.0,3.0,,44,,,541,0.195,7.79,9.39,19.0,0.195,7.79,9.39,19.0,321,0,350,350,1.000,C,9.39,C,9.39,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 2.5 SHS (C350),3.60,50,50,2.5,2.5,,45,,,459,0.169,6.78,8.07,19.2,0.169,6.78,8.07,19.2,275,0,350,350,1.000,C,8.07,C,8.07,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 2.0 SHS (C350),2.93,50,50,2.0,2.0,,46,,,374,0.141,5.66,6.66,19.5,0.141,5.66,6.66,19.5,226,0,350,350,1.000,C,6.66,C,6.66,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
50 x 1.6 SHS (C350),2.38,50,50,1.6,1.6,,46.8,,,303,0.117,4.68,5.46,19.6,0.117,4.68,5.46,19.6,185,0,350,350,1.000,N,5.10,N,5.10,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
40 x 4.0 SHS (C350),4.09,40,40,4.0,4.0,,32,,,521,0.105,5.26,6.74,14.2,0.105,5.26,6.74,14.2,192,0,350,350,1.000,C,6.74,C,6.74,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
40 x 3.0 SHS (C350),3.30,40,40,3.0,3.0,,34,,,421,0.0932,4.66,5.72,14.9,0.0932,4.66,5.72,14.9,158,0,350,350,1.000,C,5.72,C,5.72,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
40 x 2.5 SHS (C350),2.82,40,40,2.5,2.5,,35,,,359,0.0822,4.11,4.97,15.1,0.0822,4.11,4.97,15.1,136,0,350,350,1.000,C,4.97,C,4.97,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
40 x 2.0 SHS (C350),2.31,40,40,2.0,2.0,,36,,,294,0.0694,3.47,4.13,15.4,0.0694,3.47,4.13,15.4,113,0,350,350,1.000,C,4.13,C,4.13,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
40 x 1.6 SHS (C350),1.88,40,40,1.6,1.6,,36.8,,,239,0.0579,2.90,3.41,15.6,0.0579,2.90,3.41,15.6,92.7,0,350,350,1.000,C,3.41,C,3.41,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
35 x 3.0 SHS (C350),2.83,35,35,3.0,3.0,,29,,,361,0.0595,3.40,4.23,12.8,0.0595,3.40,4.23,12.8,102,0,350,350,1.000,C,4.23,C,4.23,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
35 x 2.5 SHS (C350),2.42,35,35,2.5,2.5,,30,,,309,0.0529,3.02,3.69,13.1,0.0529,3.02,3.69,13.1,88.9,0,350,350,1.000,C,3.69,C,3.69,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
35 x 2.0 SHS (C350),1.99,35,35,2.0,2.0,,31,,,254,0.0451,2.58,3.09,13.3,0.0451,2.58,3.09,13.3,74.1,0,350,350,1.000,C,3.09,C,3.09,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
35 x 1.6 SHS (C350),1.63,35,35,1.6,1.6,,31.8,,,207,0.0379,2.16,2.57,13.5,0.0379,2.16,2.57,13.5,61.1,0,350,350,1.000,C,2.57,C,2.57,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
30 x 3.0 SHS (C350),2.36,30,30,3.0,3.0,,24,,,301,0.0350,2.34,2.96,10.8,0.0350,2.34,2.96,10.8,61.5,0,350,350,1.000,C,2.96,C,2.96,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
30 x 2.5 SHS (C350),2.03,30,30,2.5,2.5,,25,,,259,0.0316,2.10,2.61,11.0,0.0316,2.10,2.61,11.0,54.0,0,350,350,1.000,C,2.61,C,2.61,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
30 x 2.0 SHS (C350),1.68,30,30,2.0,2.0,,26,,,214,0.0272,1.81,2.21,11.3,0.0272,1.81,2.21,11.3,45.4,0,350,350,1.000,C,2.21,C,2.21,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
30 x 1.6 SHS (C350),1.38,30,30,1.6,1.6,,26.8,,,175,0.0231,1.54,1.84,11.5,0.0231,1.54,1.84,11.5,37.7,0,350,350,1.000,C,1.84,C,1.84,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
25 x 3.0 SHS (C350),1.89,25,25,3.0,3.0,,19,,,241,0.0184,1.47,1.91,8.74,0.0184,1.47,1.91,8.74,33.3,0,350,350,1.000,C,1.91,C,1.91,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
25 x 2.5 SHS (C350),1.64,25,25,2.5,2.5,,20,,,209,0.0169,1.35,1.71,8.99,0.0169,1.35,1.71,8.99,29.7,0,350,350,1.000,C,1.71,C,1.71,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
25 x 2.0 SHS (C350),1.36,25,25,2.0,2.0,,21,,,174,0.0148,1.19,1.47,9.24,0.0148,1.19,1.47,9.24,25.3,0,350,350,1.000,C,1.47,C,1.47,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
25 x 1.6 SHS (C350),1.12,25,25,1.6,1.6,,21.8,,,143,0.0128,1.02,1.24,9.44,0.0128,1.02,1.24,9.44,21.2,0,350,350,1.000,C,1.24,C,1.24,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
20 x 2.0 SHS (C350)*,1.05,20,20,2.0,2.0,,16,,,134,0.00692,0.692,0.877,7.20,0.00692,0.692,0.877,7.20,12.1,0,350,350,1.000,C,0.877,C,0.877,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
20 x 1.6 SHS (C350)*,0.873,20,20,1.6,1.6,,16.8,,,111,0.00608,0.608,0.751,7.39,0.00608,0.608,0.751,7.39,10.3,0,350,350,1.000,C,0.751,C,0.751,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
15 x 1.8 SHS (C350),0.681,15,15,1.8,1.8,,11.4,,,86.7,0.00239,0.318,0.414,5.25,0.00239,0.318,0.414,5.25,4.31,0,350,350,1.000,C,0.414,C,0.414,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
13 x 1.8 SHS (C350),0.568,13,13,1.8,1.8,,9.4,,,72.3,0.00142,0.218,0.290,4.43,0.00142,0.218,0.290,4.43,2.62,0,350,350,1.000,C,0.29,C,0.29,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
