Description,Weight,d,bf,tf,tw,r1,d1,tw,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,-,-,-,-,?b,Fu,xL,Xo,r2,ZeyD,In,Ip,ZexC,-,-,-,nL,pB,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 12.5 CHS (C350),80.3,273.1,273.1,12.5,12.5,-,248,-,-,10200,87.1,638,850,92.2,87.1,638,850,92.2,174000,0,350,350,1.000,C,850,C,850,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 10.0 CHS (C350),64.9,273.1,273.1,10.0,10.0,-,253,-,-,8270,71.6,525,693,93.1,71.6,525,693,93.1,143000,0,350,350,1.000,C,693,C,693,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 9.3 CHS (C350),60.5,273.1,273.1,9.3,9.3,-,255,-,-,7710,67.1,492,647,93.3,67.1,492,647,93.3,134000,0,350,350,1.000,C,647,C,647,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 8.0 CHS (C350),52.3,273.1,273.1,8.0,8.0,-,257,-,-,6660,58.6,429,562,93.8,58.6,429,562,93.8,117000,0,350,350,1.000,C,562,C,562,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 6.4 CHS (C350),42.1,273.1,273.1,6.4,6.4,-,260,-,-,5360,47.7,349,455,94.3,47.7,349,455,94.3,95400,0,350,350,1.000,N,441,N,441,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 6.0 CHS (C350),39.5,273.1,273.1,6.0,6.0,-,261,-,-,5030,44.9,329,428,94.5,44.9,329,428,94.5,89800,0,350,350,1.000,N,409,N,409,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 5.0 CHS (C350),33.1,273.1,273.1,5.0,5.0,-,263,-,-,4210,37.9,277,359,94.8,37.9,277,359,94.8,75700,0,350,350,1.000,N,328,N,328,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 4.8 CHS (C350),31.8,273.1,273.1,4.8,4.8,-,264,-,-,4050,36.4,267,346,94.9,36.4,267,346,94.9,72800,0,350,350,1.000,N,312,N,312,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 12.5 CHS (C350),63.7,219.1,219.1,12.5,12.5,-,194,-,-,8110,43.4,397,534,73.2,43.4,397,534,73.2,86900,0,350,350,1.000,C,534,C,534,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 10.0 CHS (C350),51.6,219.1,219.1,10.0,10.0,-,199,-,-,6570,36.0,328,438,74.0,36.0,328,438,74.0,72000,0,350,350,1.000,C,438,C,438,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 8.2 CHS (C350),42.6,219.1,219.1,8.2,8.2,-,203,-,-,5430,30.3,276,365,74.6,30.3,276,365,74.6,60500,0,350,350,1.000,C,365,C,365,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 8.0 CHS (C350),41.6,219.1,219.1,8.0,8.0,-,203,-,-,5310,29.6,270,357,74.7,29.6,270,357,74.7,59200,0,350,350,1.000,C,357,C,357,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 6.4 CHS (C350),33.6,219.1,219.1,6.4,6.4,-,206,-,-,4280,24.2,221,290,75.2,24.2,221,290,75.2,48400,0,350,350,1.000,C,290,C,290,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 6.0 CHS (C350),31.5,219.1,219.1,6.0,6.0,-,207,-,-,4020,22.8,208,273,75.4,22.8,208,273,75.4,45600,0,350,350,1.000,N,272,N,272,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 5.0 CHS (C350),26.4,219.1,219.1,5.0,5.0,-,209,-,-,3360,19.3,176,229,75.7,19.3,176,229,75.7,38600,0,350,350,1.000,N,221,N,221,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219.1 x 4.8 CHS (C350),25.4,219.1,219.1,4.8,4.8,-,210,-,-,3230,18.6,169,220,75.8,18.6,169,220,75.8,37100,0,350,350,1.000,N,210,N,210,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193.7 x 10.0 CHS (C350),45.3,193.7,193.7,10.0,10.0,-,174,-,-,5770,24.4,252,338,65.0,24.4,252,338,65.0,48800,0,350,350,1.000,C,338,C,338,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193.7 x 8.0 CHS (C350),36.6,193.7,193.7,8.0,8.0,-,178,-,-,4670,20.2,208,276,65.7,20.2,208,276,65.7,40300,0,350,350,1.000,C,276,C,276,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193.7 x 6.0 CHS (C350),27.8,193.7,193.7,6.0,6.0,-,182,-,-,3540,15.6,161,211,66.4,15.6,161,211,66.4,31200,0,350,350,1.000,C,211,C,211,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193.7 x 5.0 CHS (C350),23.3,193.7,193.7,5.0,5.0,-,184,-,-,2960,13.2,136,178,66.7,13.2,136,178,66.7,26400,0,350,350,1.000,N,176,N,176,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 10.0 CHS (C350),39.0,168.3,168.3,10.0,10.0,-,148,-,-,4970,15.6,186,251,56.1,15.6,186,251,56.1,31300,0,350,350,1.000,C,251,C,251,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 8.0 CHS (C350),31.6,168.3,168.3,8.0,8.0,-,152,-,-,4030,13.0,154,206,56.7,13.0,154,206,56.7,25900,0,350,350,1.000,C,206,C,206,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 7.1 CHS (C350),28.2,168.3,168.3,7.1,7.1,-,154,-,-,3600,11.7,139,185,57.0,11.7,139,185,57.0,23400,0,350,350,1.000,C,185,C,185,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 6.4 CHS (C350),25.6,168.3,168.3,6.4,6.4,-,156,-,-,3260,10.7,127,168,57.3,10.7,127,168,57.3,21400,0,350,350,1.000,C,168,C,168,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 6.0 CHS (C350),24.0,168.3,168.3,6.0,6.0,-,156,-,-,3060,10.1,120,158,57.4,10.1,120,158,57.4,20200,0,350,350,1.000,C,158,C,158,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 5.0 CHS (C350),20.1,168.3,168.3,5.0,5.0,-,158,-,-,2570,8.56,102,133,57.8,8.56,102,133,57.8,17100,0,350,350,1.000,C,133,C,133,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 4.8 CHS (C350),19.4,168.3,168.3,4.8,4.8,-,159,-,-,2470,8.25,98.0,128,57.8,8.25,98.0,128,57.8,16500,0,350,350,1.000,C,128,C,128,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.3 x 4.0 CHS (C350),16.2,168.3,168.3,4.0,4.0,-,160,-,-,2060,6.97,82.8,108,58.1,6.97,82.8,108,58.1,13900,0,350,350,1.000,N,105,N,105,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165.1 x 3.5 CHS (C350),13.9,165.1,165.1,3.5,3.5,-,158,-,-,1780,5.80,70.3,91.4,57.1,5.80,70.3,91.4,57.1,11600,0,350,350,1.000,N,86.6,N,86.6,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165.1 x 3.0 CHS (C350),12.0,165.1,165.1,3.0,3.0,-,159,-,-,1530,5.02,60.8,78.8,57.3,5.02,60.8,78.8,57.3,10000,0,350,350,1.000,N,71.9,N,71.9,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139.7 x 3.5 CHS (C350),11.8,139.7,139.7,3.5,3.5,-,133,-,-,1500,3.47,49.7,64.9,48.2,3.47,49.7,64.9,48.2,6950,0,350,350,1.000,N,63.7,N,63.7,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139.7 x 3.0 CHS (C350),10.1,139.7,139.7,3.0,3.0,-,134,-,-,1290,3.01,43.1,56.1,48.3,3.01,43.1,56.1,48.3,6020,0,350,350,1.000,N,53.3,N,53.3,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114.3 x 3.6 CHS (C350),9.83,114.3,114.3,3.6,3.6,-,107,-,-,1250,1.92,33.6,44.1,39.2,1.92,33.6,44.1,39.2,3840,0,350,350,1.000,C,44.1,C,44.1,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114.3 x 3.2 CHS (C350),8.77,114.3,114.3,3.2,3.2,-,108,-,-,1120,1.72,30.2,39.5,39.3,1.72,30.2,39.5,39.3,3450,0,350,350,1.000,N,39.5,N,39.5,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101.6 x 3.2 CHS (C350),7.77,101.6,101.6,3.2,3.2,-,95.2,-,-,989,1.20,23.6,31.0,34.8,1.20,23.6,31.0,34.8,2400,0,350,350,1.000,C,31.0,C,31.0,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101.6 x 2.6 CHS (C350),6.35,101.6,101.6,2.6,2.6,-,96.4,-,-,809,0.991,19.5,25.5,35.0,0.991,19.5,25.5,35.0,1980,0,350,350,1.000,N,25.1,N,25.1,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88.9 x 3.2 CHS (C350),6.76,88.9,88.9,3.2,3.2,-,82.5,-,-,862,0.792,17.8,23.5,30.3,0.792,17.8,23.5,30.3,1580,0,350,350,1.000,C,23.5,C,23.5,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88.9 x 2.6 CHS (C350),5.53,88.9,88.9,2.6,2.6,-,83.7,-,-,705,0.657,14.8,19.4,30.5,0.657,14.8,19.4,30.5,1310,0,350,350,1.000,C,19.4,C,19.4,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76.1 x 3.2 CHS (C350),5.75,76.1,76.1,3.2,3.2,-,69.7,-,-,733,0.488,12.8,17.0,25.8,0.488,12.8,17.0,25.8,976,0,350,350,1.000,C,17,C,17,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
