Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,-,-,-,-,?b,Fu,xL,Xo,r2,ZeyD,In,Ip,ZexC,-,-,-,nL,pB,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350 x 250 x 8.0 RHS (C450),71.6,350,250,8.0,8.0,-,334,-,-,9120,160,914,1090,132,95.7,766,869,102,191000,0,450,450,0.833,N,928,S,614,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350 x 250 x 6.0 RHS (C450),54.4,350,250,6.0,6.0,-,338,-,-,6930,124,706,837,134,74.1,593,667,103,146000,0,450,450,0.622,S,611,S,399,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300 x 200 x 16.0 RHS (C450),111,300,200,16.0,16.0,-,268,-,-,14100,161,1080,1350,107,85.7,857,1020,78.0,193000,0,450,450,1.000,C,1350,C,1020,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300 x 200 x 12.5 RHS (C450),89.0,300,200,12.5,12.5,-,275,-,-,11300,135,899,1110,109,72.0,720,842,79.7,158000,0,450,450,1.000,C,1110,C,842,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300 x 200 x 10.0 RHS (C450),72.7,300,200,10.0,10.0,-,280,-,-,9260,113,754,921,111,60.6,606,698,80.9,130000,0,450,450,1.000,C,921,N,628,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300 x 200 x 8.0 RHS (C450),59.1,300,200,8.0,8.0,-,284,-,-,7520,93.9,626,757,112,50.4,504,574,81.9,106000,0,450,450,0.903,N,745,S,447,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300 x 200 x 6.0 RHS (C450),45.0,300,200,6.0,6.0,-,288,-,-,5730,73.0,487,583,113,39.3,393,443,82.8,81400,0,450,450,0.753,S,474,S,288,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 16.0 RHS (C450),85.5,250,150,16.0,16.0,-,218,-,-,10900,80.2,641,834,85.8,35.8,478,583,57.3,88200,0,450,450,1.000,C,834,C,583,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 12.5 RHS (C450),69.4,250,150,12.5,12.5,-,225,-,-,8840,68.5,548,695,88.0,30.8,411,488,59.0,73400,0,450,450,1.000,C,695,C,488,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 10.0 RHS (C450),57.0,250,150,10.0,10.0,-,230,-,-,7260,58.3,466,582,89.6,26.3,351,409,60.2,61200,0,450,450,1.000,C,582,N,404,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 9.0 RHS (C450),51.8,250,150,9.0,9.0,-,232,-,-,6600,53.7,430,533,90.2,24.3,324,375,60.7,56000,0,450,450,1.000,C,533,N,352,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 8.0 RHS (C450),46.5,250,150,8.0,8.0,-,234,-,-,5920,48.9,391,482,90.8,22.2,296,340,61.2,50500,0,450,450,1.000,C,482,N,299,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 6.0 RHS (C450),35.6,250,150,6.0,6.0,-,238,-,-,4530,38.4,307,374,92.0,17.5,233,264,62.2,39000,0,450,450,0.843,N,368,S,191,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250 x 150 x 5.0 RHS (C450),29.9,250,150,5.0,5.0,-,240,-,-,3810,32.7,262,317,92.6,15.0,199,224,62.6,33000,0,450,450,0.762,N,275,S,144,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 10.0 RHS (C450)*,41.3,200,100,10.0,10.0,-,180,-,-,5260,24.4,244,318,68.2,8.18,164,195,39.4,21500,0,450,450,1.000,C,318,C,195,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 9.0 RHS (C450),37.7,200,100,9.0,9.0,-,182,-,-,4800,22.8,228,293,68.9,7.64,153,180,39.9,19900,0,450,450,1.000,C,293,C,180,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 8.0 RHS (C450),33.9,200,100,8.0,8.0,-,184,-,-,4320,20.9,209,267,69.5,7.05,141,165,40.4,18100,0,450,450,1.000,C,267,N,163,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 6.0 RHS (C450),26.2,200,100,6.0,6.0,-,188,-,-,3330,16.7,167,210,70.8,5.69,114,130,41.3,14200,0,450,450,0.967,C,210,S,110,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 5.0 RHS (C450),22.1,200,100,5.0,5.0,-,190,-,-,2810,14.4,144,179,71.5,4.92,98.3,111,41.8,12100,0,450,450,0.855,C,179,S,82.2,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200 x 100 x 4.0 RHS (C450),17.9,200,100,4.0,4.0,-,192,-,-,2280,11.9,119,147,72.1,4.07,81.5,91.0,42.3,9890,0,450,450,0.745,N,144,S,58.0,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152 x 76 x 6.0 RHS (C450),19.4,152,76,6.0,6.0,-,140,-,-,2470,6.91,90.9,116,52.9,2.33,61.4,71.5,30.7,5980,0,450,450,1.000,C,116,N,70.2,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152 x 76 x 5.0 RHS (C450),16.4,152,76,5.0,5.0,-,142,-,-,2090,6.01,79.0,99.8,53.6,2.04,53.7,61.6,31.2,5130,0,450,450,1.000,C,99.8,N,55.2,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 10.0 RHS (C450)*,33.4,150,100,10.0,10.0,-,130,-,-,4260,11.6,155,199,52.2,6.14,123,150,38.0,14300,0,450,450,1.000,C,199,C,150,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 9.0 RHS (C450),30.6,150,100,9.0,9.0,-,132,-,-,3900,10.9,145,185,52.9,5.77,115,140,38.5,13200,0,450,450,1.000,C,185,C,140,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 8.0 RHS (C450),27.7,150,100,8.0,8.0,-,134,-,-,3520,10.1,134,169,53.5,5.36,107,128,39.0,12100,0,450,450,1.000,C,169,C,128,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 6.0 RHS (C450),21.4,150,100,6.0,6.0,-,138,-,-,2730,8.17,109,134,54.7,4.36,87.3,102,40.0,9510,0,450,450,1.000,C,134,N,101,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 5.0 RHS (C450),18.2,150,100,5.0,5.0,-,140,-,-,2310,7.07,94.3,115,55.3,3.79,75.7,87.3,40.4,8120,0,450,450,1.000,C,115,N,78.5,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 100 x 4.0 RHS (C450),14.8,150,100,4.0,4.0,-,142,-,-,1880,5.87,78.2,94.6,55.9,3.15,63.0,71.8,40.9,6640,0,450,450,0.903,N,93.2,S,55.9,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 6.0 RHS (C450),16.7,150,50,6.0,6.0,-,138,-,-,2130,5.06,67.5,91.2,48.7,0.860,34.4,40.9,20.1,2630,0,450,450,1.000,C,91.2,N,40.4,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 5.0 RHS (C450),14.2,150,50,5.0,5.0,-,140,-,-,1810,4.44,59.2,78.9,49.5,0.765,30.6,35.7,20.5,2300,0,450,450,1.000,C,78.9,N,31.8,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 4.0 RHS (C450),11.6,150,50,4.0,4.0,-,142,-,-,1480,3.74,49.8,65.4,50.2,0.653,26.1,29.8,21.0,1930,0,450,450,0.877,C,65.4,S,22.7,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 3.0 RHS (C450),8.96,150,50,3.0,3.0,-,144,-,-,1140,2.99,39.8,51.4,51.2,0.526,21.1,23.5,21.5,1500,0,450,450,0.713,C,51.4,S,14.5,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 2.5 RHS (C450),7.53,150,50,2.5,2.5,-,145,-,-,959,2.54,33.9,43.5,51.5,0.452,18.1,19.9,21.7,1280,0,450,450,0.633,C,43.5,S,10.9,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150 x 50 x 2.0 RHS (C450),6.07,150,50,2.0,2.0,-,146,-,-,774,2.08,27.7,35.3,51.8,0.372,14.9,16.3,21.9,1040,0,450,450,0.553,N,31.6,S,7.64,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127 x 51 x 6.0 RHS (C450),14.7,127,51,6.0,6.0,-,115,-,-,1870,3.28,51.6,68.9,41.9,0.761,29.8,35.8,20.2,2200,0,450,450,1.000,C,68.9,C,35.8,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127 x 51 x 5.0 RHS (C450),12.5,127,51,5.0,5.0,-,117,-,-,1590,2.89,45.6,59.9,42.6,0.679,26.6,31.3,20.6,1930,0,450,450,1.000,C,59.9,N,30.6,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127 x 51 x 3.5 RHS (C450),9.07,127,51,3.5,3.5,-,120,-,-,1150,2.20,34.7,44.6,43.7,0.526,20.6,23.4,21.3,1440,0,450,450,0.905,C,44.6,S,18.5,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 6.0 RHS (C450),16.7,125,75,6.0,6.0,-,113,-,-,2130,4.16,66.6,84.2,44.2,1.87,50.0,59.1,29.6,4440,0,450,450,1.000,C,84.2,C,59.1,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 5.0 RHS (C450),14.2,125,75,5.0,5.0,-,115,-,-,1810,3.64,58.3,72.7,44.8,1.65,43.9,51.1,30.1,3830,0,450,450,1.000,C,72.7,N,50.5,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 4.0 RHS (C450),11.6,125,75,4.0,4.0,-,117,-,-,1480,3.05,48.9,60.3,45.4,1.39,37.0,42.4,30.6,3160,0,450,450,1.000,C,60.3,N,37.4,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 3.0 RHS (C450),8.96,125,75,3.0,3.0,-,119,-,-,1140,2.43,38.9,47.3,46.1,1.11,29.5,33.3,31.1,2430,0,450,450,0.845,N,46.5,S,24.2,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 2.5 RHS (C450),7.53,125,75,2.5,2.5,-,120,-,-,959,2.07,33.0,40.0,46.4,0.942,25.1,28.2,31.4,2050,0,450,450,0.763,N,34.7,S,18.2,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125 x 75 x 2.0 RHS (C450),6.07,125,75,2.0,2.0,-,121,-,-,774,1.69,27.0,32.5,46.7,0.771,20.6,22.9,31.6,1670,0,450,450,0.624,S,24.8,S,13.0,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102 x 76 x 6.0 RHS (C450),14.7,102,76,6.0,6.0,-,90,-,-,1870,2.52,49.4,61.9,36.7,1.59,42.0,50.5,29.2,3380,0,450,450,1.000,C,61.9,C,50.5,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102 x 76 x 5.0 RHS (C450),12.5,102,76,5.0,5.0,-,92,-,-,1590,2.22,43.5,53.7,37.3,1.41,37.0,43.9,29.7,2910,0,450,450,1.000,C,53.7,C,43.9,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102 x 76 x 3.5 RHS (C450),9.07,102,76,3.5,3.5,-,95,-,-,1150,1.68,33.0,39.9,38.2,1.07,28.2,32.6,30.5,2140,0,450,450,1.000,C,39.9,N,29.8,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 6.0 RHS (C450),12.0,100,50,6.0,6.0,-,88,-,-,1530,1.71,34.2,45.3,33.4,0.567,22.7,27.7,19.2,1530,0,450,450,1.000,C,45.3,C,27.7,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 5.0 RHS (C450),10.3,100,50,5.0,5.0,-,90,-,-,1310,1.53,30.6,39.8,34.1,0.511,20.4,24.4,19.7,1350,0,450,450,1.000,C,39.8,C,24.4,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 4.0 RHS (C450),8.49,100,50,4.0,4.0,-,92,-,-,1080,1.31,26.1,33.4,34.8,0.441,17.6,20.6,20.2,1130,0,450,450,1.000,C,33.4,N,20.3,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 3.5 RHS (C450),7.53,100,50,3.5,3.5,-,93,-,-,959,1.18,23.6,29.9,35.1,0.400,16.0,18.5,20.4,1010,0,450,450,1.000,C,29.9,N,17.1,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 3.0 RHS (C450),6.60,100,50,3.0,3.0,-,94,-,-,841,1.06,21.3,26.7,35.6,0.361,14.4,16.4,20.7,886,0,450,450,0.967,C,26.7,S,13.9,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 2.5 RHS (C450),5.56,100,50,2.5,2.5,-,95,-,-,709,0.912,18.2,22.7,35.9,0.311,12.4,14.0,20.9,754,0,450,450,0.856,C,22.7,S,10.4,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 2.0 RHS (C450),4.50,100,50,2.0,2.0,-,96,-,-,574,0.750,15.0,18.5,36.2,0.257,10.3,11.5,21.2,616,0,450,450,0.746,N,18.2,S,7.33,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100 x 50 x 1.6 RHS (C450),3.64,100,50,1.6,1.6,-,96.8,-,-,463,0.613,12.3,15.0,36.4,0.211,8.43,9.33,21.3,501,0,450,450,0.661,N,12.5,S,5.19,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76 x 38 x 4.0 RHS (C450),6.23,76,38,4.0,4.0,-,68,-,-,793,0.527,13.9,18.1,25.8,0.176,9.26,11.1,14.9,466,0,450,450,1.000,C,18.1,C,11.1,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76 x 38 x 3.0 RHS (C450),4.90,76,38,3.0,3.0,-,70,-,-,625,0.443,11.7,14.8,26.6,0.149,7.82,9.09,15.4,373,0,450,450,1.000,C,14.8,N,8.92,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76 x 38 x 2.5 RHS (C450),4.15,76,38,2.5,2.5,-,71,-,-,529,0.383,10.1,12.7,26.9,0.129,6.81,7.81,15.6,320,0,450,450,1.000,C,12.7,N,7.00,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75 x 50 x 6.0 RHS (C450),9.67,75,50,6.0,6.0,-,63,-,-,1230,0.800,21.3,28.1,25.5,0.421,16.9,21.1,18.5,1010,0,450,450,1.000,C,28.1,C,21.1,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75 x 50 x 5.0 RHS (C450),8.35,75,50,5.0,5.0,-,65,-,-,1060,0.726,19.4,24.9,26.1,0.384,15.4,18.8,19.0,891,0,450,450,1.000,C,24.9,C,18.8,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75 x 50 x 4.0 RHS (C450),6.92,75,50,4.0,4.0,-,67,-,-,881,0.630,16.8,21.1,26.7,0.335,13.4,16.0,19.5,754,0,450,450,1.000,C,21.1,C,16.0,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75 x 50 x 3.0 RHS (C450),5.42,75,50,3.0,3.0,-,69,-,-,691,0.522,13.9,17.1,27.5,0.278,11.1,12.9,20.0,593,0,450,450,1.000,C,17.1,N,12.8,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
